stamp_index,class,stamp_real,stamp_imag,stamp_frequency_hz,veragrid_index,veragrid_real,veragrid_imag,veragrid_frequency_hz,absolute_error,scaled_error,status
39,slow_control_or_electromechanical,-100.8069603518,0.0,0.0,34,-100.82673021023979,0.0,0.0,0.019769858439786958,0.00019611600598602863,matched
40,fast_electrical,-103.829634044277,808.753140706172,128.71706008448243,32,-67.96404887962701,509.4976351577975,81.08906712899451,301.39707662851663,0.36963509861946914,matched
41,fast_electrical,-103.829634044277,-808.753140706172,128.71706008448243,33,-67.96404887962701,-509.4976351577975,81.08906712899451,301.39707662851663,0.36963509861946914,matched
42,fast_electrical,-131.492347666384,4680.73617424449,744.9622994400577,7,1e-10,0.0,0.0,4682.582767060908,1.0000000000000007,matched
43,fast_electrical,-131.492347666384,-4680.73617424449,744.9622994400577,,,,,,,unmatched_stamp
44,fast_electrical,-135.243710013601,5307.52102354242,844.718206460932,4,1e-10,0.0,0.0,5309.243851665042,1.0000000000000004,matched
45,fast_electrical,-135.243710013601,-5307.52102354242,844.718206460932,1,2831.748260793156,0.0,0.0,6080.528000936805,1.145271939059624,matched
46,fast_electrical,-155.280311983199,1159.60707398636,184.5571978692584,,,,,,,unmatched_stamp
47,fast_electrical,-155.280311983199,-1159.60707398636,184.5571978692584,,,,,,,unmatched_stamp
48,fast_electrical,-244.350599204497,21.128927579643,3.36277326653086,,,,,,,unmatched_stamp
49,fast_electrical,-244.350599204497,-21.128927579643,3.36277326653086,,,,,,,unmatched_stamp
50,fast_electrical,-316.121288758337,1563.70372499681,248.87117736445205,,,,,,,unmatched_stamp
51,fast_electrical,-316.121288758337,-1563.70372499681,248.87117736445205,,,,,,,unmatched_stamp
52,fast_electrical,-338.203400205629,5373.25665740169,855.1803575269138,,,,,,,unmatched_stamp
53,fast_electrical,-338.203400205629,-5373.25665740169,855.1803575269138,,,,,,,unmatched_stamp
54,fast_electrical,-340.117170205768,4884.14146893584,777.3352575412497,39,-446.0321395165785,5000.9759982346395,795.9300504029685,157.69682292481994,0.0322095189028457,matched
55,fast_electrical,-340.117170205768,-4884.14146893584,777.3352575412497,40,-446.0321395165785,-5000.9759982346395,795.9300504029685,157.69682292481994,0.0322095189028457,matched
56,fast_electrical,-387.273345003322,2211.48844654955,351.9693178589777,35,-213.43108787886436,2105.469489624073,335.0958768028413,203.62011096572022,0.09069365201362864,matched
57,fast_electrical,-387.273345003322,-2211.48844654955,351.9693178589777,36,-213.43108787886436,-2105.469489624073,335.0958768028413,203.62011096572022,0.09069365201362864,matched
58,fast_electrical,-459.207532520521,1967.99920493817,313.21680146682974,,,,,,,unmatched_stamp
59,fast_electrical,-459.207532520521,-1967.99920493817,313.21680146682974,,,,,,,unmatched_stamp
60,fast_electrical,-460.516469812648,2570.22264763755,409.0636392182548,,,,,,,unmatched_stamp
61,fast_electrical,-460.516469812648,-2570.22264763755,409.0636392182548,,,,,,,unmatched_stamp
62,fast_electrical,-507.020912637199,3964.94659640893,631.0408499138674,,,,,,,unmatched_stamp
63,fast_electrical,-507.020912637199,-3964.94659640893,631.0408499138674,,,,,,,unmatched_stamp
64,fast_electrical,-524.509729743222,2251.63248364324,358.35843979810284,,,,,,,unmatched_stamp
65,fast_electrical,-524.509729743222,-2251.63248364324,358.35843979810284,,,,,,,unmatched_stamp
66,fast_electrical,-525.632811546345,4537.54389339325,722.1725401299799,37,-428.86568926688926,4470.260137158167,711.4639977353763,117.86000087964214,0.025801862654113734,matched
67,fast_electrical,-525.632811546345,-4537.54389339325,722.1725401299799,38,-428.86568926688926,-4470.260137158167,711.4639977353763,117.86000087964214,0.025801862654113734,matched
68,fast_electrical,-564.630784361382,2907.22021116732,462.6984672639428,,,,,,,unmatched_stamp
69,fast_electrical,-564.630784361382,-2907.22021116732,462.6984672639428,,,,,,,unmatched_stamp
70,fast_electrical,-1023.13491226893,0.0,0.0,,,,,,,unmatched_stamp
71,fast_electrical,-1590.82066374536,0.0,0.0,41,-2719.2455755634637,0.0,0.0,1128.4249118181037,0.7093350856792295,matched
72,fast_electrical,-10061.5785745588,3.17706761299109,0.5056460151447006,42,-10066.125177768583,2.1512894535080886,0.34238835054727446,4.660882060262912,0.00046323564372787205,matched
73,fast_electrical,-10061.5785745588,-3.17706761299109,0.5056460151447006,43,-10066.125177768583,-2.1512894535080886,0.34238835054727446,4.660882060262912,0.00046323564372787205,matched
74,fast_electrical,-29917.0798051481,0.0,0.0,44,-29710.650075871654,0.0,0.0,206.42972927644587,0.006900062794261212,matched
75,fast_electrical,-69958.9705909083,0.0,0.0,45,-70048.64209493206,0.0,0.0,89.67150402376137,0.0012817727771914195,matched
76,fast_electrical,-98959.8730245187,317.549213846657,50.53952705864079,49,-99999.99999999975,0.0,0.0,1087.5208634035419,0.010989456950545665,matched
77,fast_electrical,-98959.8730245187,-317.549213846657,50.53952705864079,53,-99999.99999999988,0.0,0.0,1087.520863403667,0.010989456950546933,matched
